,2022-05-10
WU,0.8437025796661619
DAL,0.835060449050082
BXP,0.8289730867538723
LUV,0.8257407407407426
IPGP,0.8207468184862706
FRT,0.8187387925881631
C,0.8168565683646104
VTR,0.8079877112135176
FISV,0.8023175371843638
ANET,0.798101746393318
DD,0.7947784611522524
PNR,0.7896258230287457
AFL,0.7891549683457172
MMM,0.7818791946308765
WFC,0.7763561001982322
PPL,0.7620587442737834
BBWI,0.7557575757575756
BA,0.7526181715256128
IBM,0.7400000000000003
APA,0.7323667711598727
MO,0.7200502652890266
TJX,0.7174773394612531
BIIB,0.7150977300231052
LEG,0.7147657639849763
CSX,0.703433476394848
WDC,0.6983199415631872
HAL,0.6960227272727266
CAH,0.6923171936758915
TPR,0.6908424908424913
SPG,0.6840744570837644
VTRS,0.6401468788249691
PVH,0.6397557666214365
RCL,0.6235414534288639
MHK,0.6235273507642461
UAL,0.6183601962158372
NLSN,0.6171483162168622
HBI,0.5888888888888894
BEN,0.5875449101796402
XRAY,0.5807790549169862
IVZ,0.5776397515527958
TAP,0.5744814582023859
INCY,0.5496679179901782
LVS,0.5456453305351526
NEE,0.5437383467992513
WYNN,0.5299123259412053
UAA,0.528753180661579
UA,0.522615803814713
WBA,0.5221217600964435
IR,0.5215464171386363
ALK,0.513911443109234
GPS,0.5035849852382994
HSIC,0.5002070393374741
SLB,0.4876447876447869
NWL,0.48148148148148223
KHC,0.4772677355589718
T,0.4657204714938637
CTRA,0.4388148148148136
DXC,0.4163355408388524
AAL,0.3903415783274437
DISH,0.34485492310131366
VNO,0.33511745465358395
NCLH,0.3229727037258421
ISRG,0.27643158844529325
CCL,0.24165531335149928
